Id,Prediction,DER_mass_transverse_met_lep,DER_mass_vis,DER_pt_h,DER_deltaeta_jet_jet,DER_mass_jet_jet,DER_prodeta_jet_jet,DER_deltar_tau_lep,DER_pt_tot,DER_sum_pt,DER_pt_ratio_lep_tau,DER_met_phi_centrality,DER_lep_eta_centrality,PRI_tau_pt,PRI_tau_eta,PRI_lep_pt,PRI_lep_eta,PRI_met,PRI_met_sumet,PRI_jet_leading_pt,PRI_jet_leading_eta,PRI_jet_subleading_pt,PRI_jet_subleading_eta,PRI_jet_all_pt
100134,b,95.64,73.989,54.073,0.698,89.307,0.1,2.588,70.122,229.676,1.035,-1.371,0.0,29.731,-0.807,30.781,-2.385,82.185,238.094,51.155,0.122,44.163,0.82,169.164
100441,b,55.585,123.788,190.04,1.609,189.897,-0.581,3.627,35.557,347.89,4.253,-1.414,0.593,20.431,1.544,86.896,-0.324,129.905,343.551,143.97,1.063,56.839,-0.547,240.563
100878,b,90.225,41.285,35.249,0.816,88.28,1.934,1.505,35.133,223.423,1.758,-0.721,0.227,21.304,1.821,37.46,0.952,55.238,255.652,56.898,1.041,45.963,1.857,164.659
100903,b,63.337,17.269,208.807,1.03,202.644,5.727,0.588,37.573,412.005,1.109,0.303,0.0,27.762,-0.345,30.799,0.096,162.832,463.01,163.292,1.933,94.517,2.963,353.444
101295,b,111.954,79.174,121.291,0.933,87.849,4.226,2.848,42.558,238.332,1.649,1.402,0.0,27.704,-1.611,45.684,-0.569,111.197,332.104,70.921,1.641,54.685,2.575,164.943
101558,b,141.053,224.775,147.872,3.554,1494.48,-3.127,3.81,78.08,669.226,1.686,-1.354,0.79,35.098,-2.456,59.171,0.687,170.916,715.729,274.831,1.602,222.78,-1.951,574.956
101628,b,90.597,63.817,103.191,1.696,188.533,-0.649,2.828,58.888,298.947,1.495,1.413,0.03,26.413,-1.289,39.485,-1.322,95.275,314.015,110.732,-0.584,66.64,1.112,233.049
101726,b,133.1,71.009,86.158,4.616,393.104,-5.2,2.776,29.496,172.527,1.893,-1.148,0.99,20.943,-0.911,39.642,0.583,112.206,228.625,45.73,-1.953,33.43,2.663,111.942
101817,b,182.434,253.712,52.924,1.301,62.613,0.161,2.774,35.55,271.507,1.699,-1.091,0.0,54.941,-0.759,93.352,1.858,89.248,208.319,52.975,-1.415,35.204,-0.114,123.215
101850,s,93.01,82.041,11.074,4.744,750.567,-5.447,2.271,40.638,267.551,1.41,-1.41,0.999,33.64,-1.512,47.431,-0.37,55.302,277.517,78.01,-2.795,61.902,1.949,186.48
101932,b,66.415,55.841,47.934,0.219,225.857,0.345,1.893,67.849,395.478,1.065,-1.133,0.0,31.875,-0.762,33.948,-1.456,67.978,34.427,130.088,0.707,108.058,0.488,329.656
102014,b,73.887,43.006,70.997,0.945,221.944,0.346,1.603,34.558,298.587,1.107,-0.125,0.0,23.743,0.815,26.28,-0.644,66.979,344.888,119.971,0.282,91.258,1.227,248.564
102025,b,74.112,61.696,128.487,1.017,62.451,-0.203,1.26,29.539,241.642,0.739,0.043,0.0,53.759,0.438,39.729,1.658,71.684,301.795,84.085,0.744,32.431,-0.273,148.154
102078,b,134.758,121.594,16.656,0.933,94.131,1.208,2.686,24.953,212.538,1.983,-1.337,0.142,31.872,-0.022,63.212,1.846,76.561,269.324,48.159,1.66,36.399,0.728,117.454
102305,b,206.497,61.073,143.372,0.975,394.611,0.696,0.698,41.659,809.28,3.369,-0.242,0.275,46.815,2.2,157.727,1.52,71.968,690.174,226.298,0.479,137.446,1.453,604.737
102381,b,106.484,26.027,35.707,0.851,106.835,3.63,0.871,41.574,257.137,2.021,-0.26,0.002,20.386,-0.05,41.197,-0.901,74.459,308.275,64.604,-1.527,54.812,-2.378,195.554
102486,b,144.956,44.328,134.186,0.031,357.669,0.001,0.762,40.133,532.828,2.375,-0.057,0.0,36.947,0.241,87.739,0.968,98.022,598.712,199.246,0.026,171.95,0.056,408.141
102526,b,144.351,65.734,126.394,1.24,178.413,-0.38,2.971,67.449,318.621,1.5,-1.384,0.116,25.631,0.195,38.445,0.849,141.306,349.611,107.582,-0.681,81.413,0.558,254.545
102546,b,106.86,54.36,59.53,1.028,304.623,0.276,2.45,101.213,491.24,1.735,-1.314,0.0,20.093,0.679,34.868,1.61,85.727,540.419,155.289,-0.221,115.797,-1.249,436.28
102753,s,112.307,71.772,55.539,0.189,93.757,3.489,2.844,64.692,191.352,2.078,-1.378,0.082,20.111,-0.245,41.788,-1.721,84.256,386.277,50.312,-1.965,43.103,-1.776,129.453
102882,b,79.596,143.182,45.888,1.478,68.032,0.51,3.645,12.202,169.317,1.104,-1.414,0.081,36.206,-0.311,39.985,2.2,64.479,324.731,31.532,1.767,30.88,0.289,93.127
103043,b,59.23,99.819,115.501,1.671,118.884,0.991,2.878,55.783,234.506,0.799,-0.811,0.354,37.643,0.096,30.092,2.151,131.854,306.795,50.551,2.135,45.925,0.464,166.771
103237,b,140.062,78.726,130.381,0.801,216.371,0.143,1.328,89.793,407.63,1.654,-0.031,0.168,45.513,0.994,75.264,-0.016,89.204,448.794,121.883,-0.151,83.741,-0.952,286.852
103777,b,131.026,145.034,100.16,0.135,279.376,0.008,3.478,71.211,467.717,1.059,-1.097,0.0,35.062,-2.132,37.145,0.571,115.776,598.376,182.879,0.044,109.801,0.179,395.511
104061,b,133.133,63.244,74.672,2.093,135.458,-1.012,1.88,18.738,213.372,1.833,-0.473,0.525,27.403,-0.369,50.229,-1.129,92.117,279.532,55.457,-1.336,46.473,0.758,135.74
104264,b,96.318,35.318,73.03,1.64,196.964,0.057,1.309,27.069,259.575,1.269,-0.949,0.827,24.578,-0.485,31.177,-1.212,104.589,411.393,116.894,-0.034,51.353,-1.674,203.821
104353,b,119.0,29.126,90.595,1.237,165.639,4.47,0.749,56.484,308.873,2.488,-0.101,0.908,24.59,1.474,61.181,2.011,77.223,289.856,131.315,1.585,57.529,2.821,223.102
104477,b,58.317,71.089,87.768,2.299,125.787,-0.669,2.272,55.092,182.614,1.706,-0.32,0.343,22.592,-1.406,38.531,0.381,76.089,198.985,49.246,0.341,38.166,-1.958,121.491
